"src_board","dst_board","num_path","distance"
7,3,1,2
31,6,1,4
5,31,1,3
20,25,1,6
3,35,2,8
16,9,1,2
6,28,2,5
21,28,1,6
30,6,2,5
19,4,1,3
17,20,1,2
7,25,3,6
22,19,2,5
20,7,2,4
30,26,1,3
18,19,2,6
23,26,1,6
21,6,1,2
8,5,1,4
32,2,1,4
13,32,1,3
35,15,1,4
9,0,1,4
33,3,1,4
14,31,1,4
10,7,2,3
34,8,1,2
15,30,1,3
11,22,1,1
35,21,1,3
0,17,2,5
24,14,1,6
14,1,1,6
12,17,2,7
1,28,1,2
25,15,1,4
15,4,1,6
13,20,3,7
2,27,1,3
26,12,1,6
29,17,1,3
3,2,2,6
27,1,1,7
30,35,2,7
15,34,1,4
30,14,1,4
4,5,2,6
28,10,3,6
31,15,1,2
5,24,1,7
20,32,1,5
32,23,1,1
16,0,1,6
6,23,1,6
30,16,1,4
4,35,1,3
19,13,1,4
17,13,1,5
7,22,1,4
31,21,2,6
5,34,1,3
20,14,1,4
18,10,1,2
33,34,1,6
23,19,1,5
21,15,1,4
8,12,1,1
32,25,1,5
22,12,3,7
9,9,1,0
33,4,1,3
23,9,1,4
10,14,3,6
34,3,3,8
8,18,1,4
11,15,1,1
35,26,1,5
9,19,1,6
24,21,1,4
14,8,1,3
12,8,1,1
1,21,1,7
25,16,1,6
15,13,2,7
13,13,1,0
2,18,1,3
26,23,1,6
0,14,1,2
3,11,2,4
27,6,1,1
1,15,2,5
4,12,1,1
28,1,1,2
2,12,1,2
24,33,1,1
5,1,1,5
29,4,1,3
3,17,1,2
1,33,1,3
16,7,1,1
6,14,1,1
30,27,1,5
19,18,2,6
29,10,1,2
17,6,3,6
7,15,3,6
31,18,2,6
20,21,2,6
18,5,1,7
16,29,1,1
6,32,1,7
21,8,1,1
34,32,2,7
17,24,1,4
32,16,1,2
22,7,1,4
28,30,1,1
30,20,1,3
18,31,2,6
31,35,1,6
23,6,1,6
10,9,1,5
34,26,2,5
8,25,1,1
11,4,3,7
35,3,2,8
9,20,1,1
24,28,1,5
14,19,1,2
12,7,2,5
10,19,1,4
25,25,1,0
15,10,1,7
13,6,2,5
11,26,1,1
26,30,1,3
0,5,2,3
23,34,2,6
12,29,1,4
27,31,2,5
1,0,2,6
25,3,1,7
4,11,3,7
28,24,1,5
2,7,1,4
5,10,3,7
29,29,1,0
3,22,1,3
29,33,1,3
6,1,3,7
30,2,2,8
4,17,2,6
19,27,1,2
2,33,1,3
26,34,2,5
7,4,2,4
31,27,2,5
5,20,1,3
20,28,1,2
16,20,1,3
6,27,1,1
21,17,1,7
19,1,6,8
17,17,1,0
7,34,1,7
22,30,1,1
35,34,2,4
18,22,1,5
33,22,1,6
23,31,1,6
12,32,1,4
34,21,1,1
8,0,2,4
32,13,1,3
35,8,1,2
9,29,1,3
33,8,1,4
14,26,1,3
10,26,1,7
34,15,1,4
15,19,1,3
11,19,2,4
26,25,1,5
0,28,1,4
24,9,2,5
12,20,1,7
27,20,2,5
1,25,3,7
25,4,1,2
13,25,1,3
28,23,2,5
2,30,2,8
26,3,1,3
29,22,2,5
3,31,1,3
27,10,2,5
30,5,1,3
4,24,1,2
19,32,1,6
31,0,1,3
5,29,3,7
20,27,2,5
27,32,2,7
16,11,2,5
6,18,3,7
21,26,2,5
19,6,1,1
18,32,1,3
8,33,1,4
7,27,1,7
22,17,1,2
20,1,1,3
18,17,1,3
16,33,1,3
21,4,1,3
8,7,1,5
32,4,1,3
22,11,1,1
30,22,1,1
9,6,1,5
33,1,1,3
14,29,6,8
34,10,2,5
10,5,3,7
34,6,1,2
15,24,6,8
28,34,1,6
11,8,1,5
35,23,1,5
0,19,1,2
24,16,1,3
14,7,1,7
12,19,1,2
1,18,1,2
25,13,1,3
15,6,1,2
13,18,1,2
2,25,1,2
26,10,1,7
0,9,1,4
23,32,1,1
3,4,1,5
27,3,3,7
30,12,3,8
4,7,2,4
28,4,3,7
31,9,1,2
5,6,1,2
20,34,2,6
29,35,1,6
16,2,2,5
6,21,1,2
21,35,1,3
19,15,1,3
17,3,1,2
7,16,1,1
31,23,1,6
5,32,3,8
20,8,3,7
18,8,1,4
33,32,2,4
16,24,1,3
21,13,1,3
10,34,2,5
8,14,1,3
32,27,2,7
22,2,1,7
9,15,1,3
33,26,2,7
23,11,3,7
10,12,1,2
34,1,2,8
8,20,3,7
11,1,1,4
35,28,2,7
9,17,1,1
24,23,1,2
14,14,1,0
12,10,1,2
30,34,1,6
10,22,3,7
25,22,2,6
15,15,1,0
13,11,1,7
2,16,2,5
26,21,2,5
0,0,1,0
35,11,2,5
3,13,2,5
27,24,1,5
1,13,1,4
4,14,2,5
28,3,1,2
2,10,1,2
24,35,2,5
5,15,1,2
29,2,1,4
3,19,1,7
25,34,1,3
6,12,1,3
30,25,2,7
4,20,1,7
19,20,1,5
17,4,2,6
7,9,2,3
22,35,2,6
20,23,1,5
18,3,1,3
16,31,1,4
21,22,1,5
18,34,1,6
17,30,1,2
32,18,1,3
22,5,1,2
11,32,3,7
18,29,1,2
33,19,2,6
23,0,1,7
34,24,1,5
8,27,1,2
32,8,2,5
11,6,2,3
35,5,1,4
9,26,1,2
24,30,1,6
14,17,1,5
12,1,2,6
10,17,2,5
25,31,1,6
15,20,1,2
13,4,1,2
28,32,2,5
11,28,1,2
26,28,2,3
0,7,3,7
24,4,1,2
31,34,2,6
12,31,1,7
27,17,1,6
1,6,3,7
25,1,3,7
13,30,1,7
28,26,2,3
2,5,1,5
26,6,1,3
32,35,1,6
5,8,1,4
29,27,2,7
3,24,1,4
6,7,8,8
30,0,1,4
4,19,1,3
19,29,1,6
26,32,1,6
7,6,8,8
31,5,1,3
5,18,1,7
20,30,1,3
16,22,1,4
6,25,1,2
21,31,2,6
19,3,1,7
17,23,1,4
7,28,1,3
22,28,1,1
20,4,1,7
18,20,2,5
33,20,2,6
23,25,1,4
12,34,1,3
34,19,1,3
8,2,1,1
32,15,1,7
13,35,1,4
35,10,1,4
9,3,1,1
33,14,1,7
14,24,1,6
30,8,1,7
10,24,1,1
34,13,1,4
15,29,1,6
11,21,1,4
35,16,1,7
0,30,1,4
24,11,1,7
14,2,1,4
12,22,3,7
27,22,1,4
1,31,1,4
25,10,1,3
13,23,1,2
28,17,1,1
2,28,1,7
26,1,1,4
29,20,1,4
3,1,2,3
27,12,1,3
15,33,3,8
30,11,1,2
4,26,1,7
19,34,1,3
31,2,3,8
5,27,1,2
29,14,6,8
27,34,1,1
16,13,2,4
6,16,1,7
21,24,1,4
4,32,1,3
19,8,1,2
8,35,1,2
7,21,1,6
22,23,2,6
20,3,1,2
9,34,3,7
16,35,1,7
21,2,1,2
8,9,8,8
32,6,1,7
22,9,1,2
9,4,1,6
33,7,1,2
23,12,1,3
10,3,1,4
31,30,2,4
15,26,1,1
18,13,1,2
11,10,8,8
35,25,1,1
0,21,1,3
24,18,1,1
14,5,1,1
12,13,2,3
1,16,1,2
25,19,1,1
15,0,1,1
13,16,2,4
2,23,1,3
26,8,3,6
0,11,1,2
3,6,1,6
27,5,1,2
1,10,2,4
4,1,2,5
28,6,2,5
0,33,3,8
31,11,1,2
5,4,2,6
29,7,1,1
17,33,1,4
16,4,1,4
6,11,2,3
21,33,1,5
19,17,3,7
17,1,1,1
7,18,1,1
31,17,1,3
20,10,1,6
18,6,3,7
16,26,1,4
21,11,1,4
10,32,1,2
17,27,1,6
32,29,1,1
22,0,1,3
18,12,1,4
9,13,3,6
33,24,1,1
23,5,6,8
10,10,1,0
34,31,2,6
8,22,1,6
32,20,1,5
11,3,2,4
35,30,2,7
9,23,1,4
24,25,2,4
14,12,2,4
12,4,1,1
10,20,1,6
25,20,1,6
15,9,1,3
13,9,3,6
11,25,2,5
26,19,1,4
0,2,2,5
28,14,1,4
3,15,1,4
